Time,Ox Man Raw,Ox Man (psi),Fuel Man Raw,Fuel Man (psi),CC Raw,CC (psi),Ox Tank Raw,Ox Tank (psi),Press Tank Raw,Press Tank (psi),Thrust Raw,Thrust (lbf),dP Fuel,dP Ox
1626238,0.977893,-0.49028429,1.003943,2.119527,0.983371,0.63207033,1.016452,3.62232028,1.00343,6.341443,0.246887,22.397989,1.48745667,-1.12235462
1626264,0.972839,-1.71572767,1.004495,2.255354,0.984506,0.91040638,1.014777,3.19956703,1.004394,7.562028,0.241553,21.868426,1.34494762,-2.62613405
1626297,0.973468,-1.56321404,1.003418,1.990453,0.984714,0.96141422,1.014413,3.10769707,1.004791,8.064167,0.244702,22.181074,1.02903878,-2.52462826
1626321,0.973761,-1.49217033,1.00524,2.438458,0.983951,0.77430373,1.013241,2.81189599,1.002893,5.661624,0.241223,21.835706,1.66415427,-2.26647406
1626353,0.970621,-2.25352613,1.004092,2.156298,0.984656,0.94719088,1.014471,3.12233569,1.004285,7.422974,0.244165,22.127754,1.20910712,-3.20071701
1626399,0.976883,-0.73517899,1.005032,2.387429,0.982684,0.46359732,1.016012,3.51126868,1.005844,9.396768,0.247327,22.441615,1.92383168,-1.19877631
1626425,0.974383,-1.34135399,1.005368,2.469976,0.983966,0.77798218,1.014688,3.17710432,1.004352,7.507951,0.243872,22.098671,1.69199382,-2.11933617
1626460,0.975033,-1.18374849,1.005267,2.445212,0.983264,0.60583072,1.014413,3.10769707,1.004065,7.144866,0.240479,21.761786,1.83938128,-1.78957921
1626494,0.974267,-1.36948051,1.003958,2.123279,0.984161,0.82580203,1.015213,3.30960907,1.003424,6.333718,0.244141,22.125331,1.29747697,-2.19528254
1626524,0.977615,-0.55769095,1.00535,2.465474,0.984637,0.94253151,1.01445,3.1170355,1.005295,8.701498,0.244104,22.121695,1.52294249,-1.50022246
1626557,0.973004,-1.67572012,1.006164,2.665838,0.984647,0.94498381,1.015176,3.30027064,1.004208,7.326409,0.244116,22.122907,1.72085419,-2.62070393
1626581,0.977655,-0.54799215,1.003857,2.098515,0.982458,0.40817534,1.015961,3.49839679,1.004385,7.55044,0.244153,22.126542,1.69033966,-0.95616749
1626619,0.971301,-2.08864653,1.005402,2.478231,0.983594,0.68675662,1.013663,2.91840457,1.004349,7.504089,0.244141,22.125331,1.79147438,-2.77540315
1626648,0.973297,-1.60467641,1.006116,2.653831,0.98699,1.5195577,1.014444,3.11552116,1.003912,6.951736,0.244092,22.120483,1.1342733,-3.12423411
1626679,0.975378,-1.10009634,1.003213,1.940175,0.982785,0.48836555,1.015103,3.28184617,1.004367,7.527265,0.244141,22.125331,1.45180945,-1.58846189
1626714,0.972357,-1.83259821,1.004739,2.315388,0.985217,1.08476491,1.015161,3.29648479,1.005112,8.469741,0.244092,22.120483,1.23062309,-2.91736312
1626736,0.971454,-2.05154862,1.004434,2.240345,0.984585,0.92977955,1.014484,3.12561676,1.002734,5.460768,0.244141,22.125331,1.31056545,-2.98132817
1626772,0.978149,-0.42821197,1.005093,2.402438,0.984335,0.86847205,1.015109,3.28336051,1.006601,10.354695,0.244104,22.121695,1.53396595,-1.29668402
1626808,0.972998,-1.67717494,1.004156,2.172057,0.985293,1.10340239,1.014227,3.06075253,1.006528,10.261992,0.244141,22.125331,1.06865461,-2.78057733
1626831,0.977243,-0.64788979,1.003454,1.999458,0.984631,0.94106013,1.017941,3.99812899,1.004031,7.102377,0.240686,21.782387,1.05839787,-1.58894992
